state,prod_year,rate_class,num_oil_wells,oil_prod_BBL,ADgas_prod_MCF,oil_wells_dayson,num_gas_wells,NAgas_prod_MCF,conden_prod_BBL,gas_wells_dayson
AK,2002,2,5,1590,881,1157,5,15207,160,1764
AK,2002,3,9,6035,11549,2282,4,20643,681,1460
AK,2002,4,2,3517,3108,730,2,22314,0,730
AK,2002,5,2,3978,4546,730,3,29212,912,881
AK,2002,6,3,5636,8104,789,5,60820,1396,1246
AK,2002,7,7,18433,30652,2188,2,29059,2054,608
AK,2002,8,8,29109,48440,2736,4,81998,5013,1368
AK,2002,9,6,33198,26837,2190,4,97036,2853,1065
AK,2002,10,9,53937,78051,2981,4,123945,6521,1218
AK,2002,11,6,47779,73105,2190,6,267072,11068,2037
AK,2002,12,18,159914,254829,5594,6,320144,10718,1884
AK,2002,13,20,243894,435267,7149,16,1084477,48068,5141
AK,2002,14,90,1980299,1885616,31173,43,5164733,126144,13681
AK,2002,15,224,9895899,10602041,77344,28,6556705,270489,9277
AK,2002,16,380,32188524,44927998,136725,64,31564343,1162089,21219
AK,2002,17,304,47031112,82156817,107956,107,101677433,6030825,37991
AK,2002,18,159,43642946,80001570,52673,171,331905589,15871532,60533
AK,2002,19,57,29599836,45168605,16260,245,978507838,41720533,86803
AK,2002,20,21,27790085,29626889,7211,185,1350229687,57245055,65500
AK,2002,21,9,17790120,41487952,3165,22,269022013,11102625,7424
AK,2002,22,5,14314093,39619667,1401,1,26163887,922108,365
AK,2001,1,10,871,1618,3285,18,9577,316,5958
AK,2001,2,3,710,771,761,1,1961,71,365
AK,2001,3,2,1755,2419,699,8,40962,1005,2675
AK,2001,4,4,6391,4122,1309,7,37509,1850,1670
AK,2001,5,11,19020,28571,3497,7,74038,3443,2343
AK,2001,6,1,1867,6349,365,2,35630,767,730
AK,2001,7,3,6302,14752,820,2,27025,0,396
AK,2001,8,5,14868,21391,1401,3,69693,2438,1064
AK,2001,9,16,75479,78832,4896,3,94808,3655,1095
